week,vote_choice,gender,age_group,education_level,municipality,weight
2025-W01,Social Democrats (S),Men,50-64,Tertiary,Gothenburg,0.002902
2025-W01,Social Democrats (S),Men,50-64,Tertiary,Malmö,0.002205
2025-W01,Social Democrats (S),Men,65+,Primary,Stockholm,0.004303
2025-W01,Social Democrats (S),Men,65+,Primary,Gothenburg,0.004171
2025-W01,Social Democrats (S),Men,65+,Primary,Malmö,0.003185
2025-W01,Social Democrats (S),Men,65+,Secondary,Stockholm,0.003821
2025-W01,Social Democrats (S),Men,65+,Secondary,Gothenburg,0.003138
2025-W01,Social Democrats (S),Men,65+,Secondary,Malmö,0.002417
2025-W01,Social Democrats (S),Men,65+,Tertiary,Stockholm,0.003941
2025-W01,Social Democrats (S),Men,65+,Tertiary,Gothenburg,0.002927
2025-W01,Social Democrats (S),Men,65+,Tertiary,Malmö,0.002425
2025-W01,Social Democrats (S),Women,18-29,Primary,Stockholm,0.004988
2025-W01,Social Democrats (S),Women,18-29,Primary,Gothenburg,0.003992
2025-W01,Social Democrats (S),Women,18-29,Primary,Malmö,0.003346
2025-W01,Social Democrats (S),Women,18-29,Secondary,Stockholm,0.003656
2025-W01,Social Democrats (S),Women,18-29,Secondary,Gothenburg,0.003123
2025-W01,Social Democrats (S),Women,18-29,Secondary,Malmö,0.002182
2025-W01,Social Democrats (S),Women,18-29,Tertiary,Stockholm,0.003404
2025-W01,Social Democrats (S),Women,18-29,Tertiary,Gothenburg,0.002874
2025-W01,Social Democrats (S),Women,18-29,Tertiary,Malmö,0.002198
2025-W01,Social Democrats (S),Women,30-49,Primary,Stockholm,0.00443
2025-W01,Social Democrats (S),Women,30-49,Primary,Gothenburg,0.003589
2025-W01,Social Democrats (S),Women,30-49,Primary,Malmö,0.002981
2025-W01,Social Democrats (S),Women,30-49,Secondary,Stockholm,0.003698
2025-W01,Social Democrats (S),Women,30-49,Secondary,Gothenburg,0.002919
2025-W01,Social Democrats (S),Women,30-49,Secondary,Malmö,0.002338
2025-W01,Social Democrats (S),Women,30-49,Tertiary,Stockholm,0.003391
2025-W01,Social Democrats (S),Women,30-49,Tertiary,Gothenburg,0.00286
2025-W01,Social Democrats (S),Women,30-49,Tertiary,Malmö,0.00261
2025-W01,Social Democrats (S),Women,50-64,Primary,Stockholm,0.004819
2025-W01,Social Democrats (S),Women,50-64,Primary,Gothenburg,0.003985
2025-W01,Social Democrats (S),Women,50-64,Primary,Malmö,0.002915
2025-W01,Social Democrats (S),Women,50-64,Secondary,Stockholm,0.003765
2025-W01,Social Democrats (S),Women,50-64,Secondary,Gothenburg,0.002798
2025-W01,Social Democrats (S),Women,50-64,Secondary,Malmö,0.002342
2025-W01,Social Democrats (S),Women,50-64,Tertiary,Stockholm,0.003952
2025-W01,Social Democrats (S),Women,50-64,Tertiary,Gothenburg,0.003084
2025-W01,Social Democrats (S),Women,50-64,Tertiary,Malmö,0.002427
2025-W01,Social Democrats (S),Women,65+,Primary,Stockholm,0.004853
2025-W01,Social Democrats (S),Women,65+,Primary,Gothenburg,0.004167
2025-W01,Social Democrats (S),Women,65+,Primary,Malmö,0.003292
2025-W01,Social Democrats (S),Women,65+,Secondary,Stockholm,0.003405
2025-W01,Social Democrats (S),Women,65+,Secondary,Gothenburg,0.002719
2025-W01,Social Democrats (S),Women,65+,Secondary,Malmö,0.002311
2025-W01,Social Democrats (S),Women,65+,Tertiary,Stockholm,0.003433
2025-W01,Social Democrats (S),Women,65+,Tertiary,Gothenburg,0.002827
2025-W01,Social Democrats (S),Women,65+,Tertiary,Malmö,0.002613
2025-W01,Moderate Party (M),Men,18-29,Primary,Stockholm,0.002839
2025-W01,Moderate Party (M),Men,18-29,Primary,Gothenburg,0.002118
2025-W01,Moderate Party (M),Men,18-29,Primary,Malmö,0.001815
2025-W01,Moderate Party (M),Men,18-29,Secondary,Stockholm,0.002585
2025-W01,Moderate Party (M),Men,18-29,Secondary,Gothenburg,0.002382
2025-W01,Moderate Party (M),Men,18-29,Secondary,Malmö,0.001746
2025-W01,Moderate Party (M),Men,18-29,Tertiary,Stockholm,0.003774
2025-W01,Moderate Party (M),Men,18-29,Tertiary,Gothenburg,0.003133
2025-W01,Moderate Party (M),Men,18-29,Tertiary,Malmö,0.002672
2025-W01,Moderate Party (M),Men,30-49,Primary,Stockholm,0.002515
2025-W01,Moderate Party (M),Men,30-49,Primary,Gothenburg,0.002237
2025-W01,Moderate Party (M),Men,30-49,Primary,Malmö,0.0019
2025-W01,Moderate Party (M),Men,30-49,Secondary,Stockholm,0.002587
2025-W01,Moderate Party (M),Men,30-49,Secondary,Gothenburg,0.002077
2025-W01,Moderate Party (M),Men,30-49,Secondary,Malmö,0.001935
2025-W01,Moderate Party (M),Men,30-49,Tertiary,Stockholm,0.003968
2025-W01,Moderate Party (M),Men,30-49,Tertiary,Gothenburg,0.00303
2025-W01,Moderate Party (M),Men,30-49,Tertiary,Malmö,0.002401
2025-W01,Moderate Party (M),Men,50-64,Primary,Stockholm,0.002434
2025-W01,Moderate Party (M),Men,50-64,Primary,Gothenburg,0.002256
2025-W01,Moderate Party (M),Men,50-64,Primary,Malmö,0.001863
2025-W01,Moderate Party (M),Men,50-64,Secondary,Stockholm,0.002599
2025-W01,Moderate Party (M),Men,50-64,Secondary,Gothenburg,0.002008
2025-W01,Moderate Party (M),Men,50-64,Secondary,Malmö,0.001718
2025-W01,Moderate Party (M),Men,50-64,Tertiary,Stockholm,0.004353
2025-W01,Moderate Party (M),Men,50-64,Tertiary,Gothenburg,0.003319
2025-W01,Moderate Party (M),Men,50-64,Tertiary,Malmö,0.002889
2025-W01,Moderate Party (M),Men,65+,Primary,Stockholm,0.00283
2025-W01,Moderate Party (M),Men,65+,Primary,Gothenburg,0.001985
2025-W01,Moderate Party (M),Men,65+,Primary,Malmö,0.001838
2025-W01,Moderate Party (M),Men,65+,Secondary,Stockholm,0.002736
2025-W01,Moderate Party (M),Men,65+,Secondary,Gothenburg,0.002216
2025-W01,Moderate Party (M),Men,65+,Secondary,Malmö,0.001678
2025-W01,Moderate Party (M),Men,65+,Tertiary,Stockholm,0.004072
2025-W01,Moderate Party (M),Men,65+,Tertiary,Gothenburg,0.003044
2025-W01,Moderate Party (M),Men,65+,Tertiary,Malmö,0.002606
2025-W01,Moderate Party (M),Women,18-29,Primary,Stockholm,0.002616
2025-W01,Moderate Party (M),Women,18-29,Primary,Gothenburg,0.0024
2025-W01,Moderate Party (M),Women,18-29,Primary,Malmö,0.001892
2025-W01,Moderate Party (M),Women,18-29,Secondary,Stockholm,0.002515
2025-W01,Moderate Party (M),Women,18-29,Secondary,Gothenburg,0.0022
2025-W01,Moderate Party (M),Women,18-29,Secondary,Malmö,0.001647
2025-W01,Moderate Party (M),Women,18-29,Tertiary,Stockholm,0.004287
2025-W01,Moderate Party (M),Women,18-29,Tertiary,Gothenburg,0.003545
2025-W01,Moderate Party (M),Women,18-29,Tertiary,Malmö,0.002534
2025-W01,Moderate Party (M),Women,30-49,Primary,Stockholm,0.002713
2025-W01,Moderate Party (M),Women,30-49,Primary,Gothenburg,0.002248
2025-W01,Moderate Party (M),Women,30-49,Primary,Malmö,0.001638
2025-W01,Moderate Party (M),Women,30-49,Secondary,Stockholm,0.002779
2025-W01,Moderate Party (M),Women,30-49,Secondary,Gothenburg,0.002217
2025-W01,Moderate Party (M),Women,30-49,Secondary,Malmö,0.001858
2025-W01,Moderate Party (M),Women,30-49,Tertiary,Stockholm,0.003984
2025-W01,Moderate Party (M),Women,30-49,Tertiary,Gothenburg,0.00297
2025-W01,Moderate Party (M),Women,30-49,Tertiary,Malmö,0.002547
2025-W01,Moderate Party (M),Women,50-64,Primary,Stockholm,0.002386
2025-W01,Moderate Party (M),Women,50-64,Primary,Gothenburg,0.002389
2025-W01,Moderate Party (M),Women,50-64,Primary,Malmö,0.001893
2025-W01,Moderate Party (M),Women,50-64,Secondary,Stockholm,0.002815
2025-W01,Moderate Party (M),Women,50-64,Secondary,Gothenburg,0.002115
2025-W01,Moderate Party (M),Women,50-64,Secondary,Malmö,0.001604
2025-W01,Moderate Party (M),Women,50-64,Tertiary,Stockholm,0.004259
2025-W01,Moderate Party (M),Women,50-64,Tertiary,Gothenburg,0.003595
2025-W01,Moderate Party (M),Women,50-64,Tertiary,Malmö,0.002421
2025-W01,Moderate Party (M),Women,65+,Primary,Stockholm,0.002633
2025-W01,Moderate Party (M),Women,65+,Primary,Gothenburg,0.00201
2025-W01,Moderate Party (M),Women,65+,Primary,Malmö,0.001852
2025-W01,Moderate Party (M),Women,65+,Secondary,Stockholm,0.00278
2025-W01,Moderate Party (M),Women,65+,Secondary,Gothenburg,0.002036
2025-W01,Moderate Party (M),Women,65+,Secondary,Malmö,0.001751
2025-W01,Moderate Party (M),Women,65+,Tertiary,Stockholm,0.003999
2025-W01,Moderate Party (M),Women,65+,Tertiary,Gothenburg,0.003145
2025-W01,Moderate Party (M),Women,65+,Tertiary,Malmö,0.002837
2025-W01,Sweden Democrats (SD),Men,18-29,Primary,Stockholm,0.003143
2025-W01,Sweden Democrats (SD),Men,18-29,Primary,Gothenburg,0.002507
2025-W01,Sweden Democrats (SD),Men,18-29,Primary,Malmö,0.002145
2025-W01,Sweden Democrats (SD),Men,18-29,Secondary,Stockholm,0.003339
2025-W01,Sweden Democrats (SD),Men,18-29,Secondary,Gothenburg,0.002501
2025-W01,Sweden Democrats (SD),Men,18-29,Secondary,Malmö,0.002048
2025-W01,Sweden Democrats (SD),Men,18-29,Tertiary,Stockholm,0.003508
2025-W01,Sweden Democrats (SD),Men,18-29,Tertiary,Gothenburg,0.00274
2025-W01,Sweden Democrats (SD),Men,18-29,Tertiary,Malmö,0.002102
2025-W01,Sweden Democrats (SD),Men,30-49,Primary,Stockholm,0.003203
2025-W01,Sweden Democrats (SD),Men,30-49,Primary,Gothenburg,0.002458
2025-W01,Sweden Democrats (SD),Men,30-49,Primary,Malmö,0.002011
2025-W01,Sweden Democrats (SD),Men,30-49,Secondary,Stockholm,0.003089
2025-W01,Sweden Democrats (SD),Men,30-49,Secondary,Gothenburg,0.002707
2025-W01,Sweden Democrats (SD),Men,30-49,Secondary,Malmö,0.002013
2025-W01,Sweden Democrats (SD),Men,30-49,Tertiary,Stockholm,0.003013
2025-W01,Sweden Democrats (SD),Men,30-49,Tertiary,Gothenburg,0.002432
2025-W01,Sweden Democrats (SD),Men,30-49,Tertiary,Malmö,0.002184
2025-W01,Sweden Democrats (SD),Men,50-64,Primary,Stockholm,0.003019
2025-W01,Sweden Democrats (SD),Men,50-64,Primary,Gothenburg,0.002876
2025-W01,Sweden Democrats (SD),Men,50-64,Primary,Malmö,0.002281
2025-W01,Sweden Democrats (SD),Men,50-64,Secondary,Stockholm,0.002918
2025-W01,Sweden Democrats (SD),Men,50-64,Secondary,Gothenburg,0.002521
2025-W01,Sweden Democrats (SD),Men,50-64,Secondary,Malmö,0.0022
2025-W01,Sweden Democrats (SD),Men,50-64,Tertiary,Stockholm,0.00301
2025-W01,Sweden Democrats (SD),Men,50-64,Tertiary,Gothenburg,0.002464
2025-W01,Sweden Democrats (SD),Men,50-64,Tertiary,Malmö,0.002313
2025-W01,Sweden Democrats (SD),Men,65+,Primary,Stockholm,0.003237
2025-W01,Sweden Democrats (SD),Men,65+,Primary,Gothenburg,0.002645
2025-W01,Sweden Democrats (SD),Men,65+,Primary,Malmö,0.002249
2025-W01,Sweden Democrats (SD),Men,65+,Secondary,Stockholm,0.003388
2025-W01,Sweden Democrats (SD),Men,65+,Secondary,Gothenburg,0.002495
2025-W01,Sweden Democrats (SD),Men,65+,Secondary,Malmö,0.001956
2025-W01,Sweden Democrats (SD),Men,65+,Tertiary,Stockholm,0.003148
2025-W01,Sweden Democrats (SD),Men,65+,Tertiary,Gothenburg,0.002619
2025-W01,Sweden Democrats (SD),Men,65+,Tertiary,Malmö,0.002114
2025-W01,Sweden Democrats (SD),Women,18-29,Primary,Stockholm,0.001431
2025-W01,Sweden Democrats (SD),Women,18-29,Primary,Gothenburg,0.00118
2025-W01,Sweden Democrats (SD),Women,18-29,Primary,Malmö,0.001
2025-W01,Sweden Democrats (SD),Women,18-29,Secondary,Stockholm,0.001258
2025-W01,Sweden Democrats (SD),Women,18-29,Secondary,Gothenburg,0.001118
2025-W01,Sweden Democrats (SD),Women,18-29,Secondary,Malmö,0.000883
2025-W01,Sweden Democrats (SD),Women,18-29,Tertiary,Stockholm,0.001467
2025-W01,Sweden Democrats (SD),Women,18-29,Tertiary,Gothenburg,0.001083
2025-W01,Sweden Democrats (SD),Women,18-29,Tertiary,Malmö,0.000855
2025-W01,Sweden Democrats (SD),Women,30-49,Primary,Stockholm,0.001354
2025-W01,Sweden Democrats (SD),Women,30-49,Primary,Gothenburg,0.001122
2025-W01,Sweden Democrats (SD),Women,30-49,Primary,Malmö,0.000872
2025-W01,Sweden Democrats (SD),Women,30-49,Secondary,Stockholm,0.0013
2025-W01,Sweden Democrats (SD),Women,30-49,Secondary,Gothenburg,0.001237
2025-W01,Sweden Democrats (SD),Women,30-49,Secondary,Malmö,0.000902
2025-W01,Sweden Democrats (SD),Women,30-49,Tertiary,Stockholm,0.001467
2025-W01,Sweden Democrats (SD),Women,30-49,Tertiary,Gothenburg,0.001151
2025-W01,Sweden Democrats (SD),Women,30-49,Tertiary,Malmö,0.00083
2025-W01,Sweden Democrats (SD),Women,50-64,Primary,Stockholm,0.001505
2025-W01,Sweden Democrats (SD),Women,50-64,Primary,Gothenburg,0.001217
2025-W01,Sweden Democrats (SD),Women,50-64,Primary,Malmö,0.000998
2025-W01,Sweden Democrats (SD),Women,50-64,Secondary,Stockholm,0.001485
2025-W01,Sweden Democrats (SD),Women,50-64,Secondary,Gothenburg,0.00122
2025-W01,Sweden Democrats (SD),Women,50-64,Secondary,Malmö,0.000851
2025-W01,Sweden Democrats (SD),Women,50-64,Tertiary,Stockholm,0.001364
2025-W01,Sweden Democrats (SD),Women,50-64,Tertiary,Gothenburg,0.001075
2025-W01,Sweden Democrats (SD),Women,50-64,Tertiary,Malmö,0.000894
2025-W01,Sweden Democrats (SD),Women,65+,Primary,Stockholm,0.001247
2025-W01,Sweden Democrats (SD),Women,65+,Primary,Gothenburg,0.001112
2025-W01,Sweden Democrats (SD),Women,65+,Primary,Malmö,0.001001
2025-W01,Sweden Democrats (SD),Women,65+,Secondary,Stockholm,0.001304
2025-W01,Sweden Democrats (SD),Women,65+,Secondary,Gothenburg,0.001205
2025-W01,Sweden Democrats (SD),Women,65+,Secondary,Malmö,0.000904
2025-W01,Sweden Democrats (SD),Women,65+,Tertiary,Stockholm,0.001347
2025-W01,Sweden Democrats (SD),Women,65+,Tertiary,Gothenburg,0.001244
2025-W01,Sweden Democrats (SD),Women,65+,Tertiary,Malmö,0.001002
2025-W01,Left Party (V),Men,18-29,Primary,Stockholm,0.001699
2025-W01,Left Party (V),Men,18-29,Primary,Gothenburg,0.001461
2025-W01,Left Party (V),Men,18-29,Primary,Malmö,0.001043
2025-W01,Left Party (V),Men,18-29,Secondary,Stockholm,0.001612
2025-W01,Left Party (V),Men,18-29,Secondary,Gothenburg,0.001531
2025-W01,Left Party (V),Men,18-29,Secondary,Malmö,0.001138
2025-W01,Left Party (V),Men,18-29,Tertiary,Stockholm,0.001694
2025-W01,Left Party (V),Men,18-29,Tertiary,Gothenburg,0.001469
2025-W01,Left Party (V),Men,18-29,Tertiary,Malmö,0.001021
2025-W01,Left Party (V),Men,30-49,Primary,Stockholm,0.001708
2025-W01,Left Party (V),Men,30-49,Primary,Gothenburg,0.001401
2025-W01,Left Party (V),Men,30-49,Primary,Malmö,0.001199
2025-W01,Left Party (V),Men,30-49,Secondary,Stockholm,0.001565
2025-W01,Left Party (V),Men,30-49,Secondary,Gothenburg,0.001529
2025-W01,Left Party (V),Men,30-49,Secondary,Malmö,0.001026
2025-W01,Left Party (V),Men,30-49,Tertiary,Stockholm,0.001574
2025-W01,Left Party (V),Men,30-49,Tertiary,Gothenburg,0.001427
2025-W01,Left Party (V),Men,30-49,Tertiary,Malmö,0.001159
2025-W01,Left Party (V),Men,50-64,Primary,Stockholm,0.001591
2025-W01,Left Party (V),Men,50-64,Primary,Gothenburg,0.001294
2025-W01,Left Party (V),Men,50-64,Primary,Malmö,0.001207
2025-W01,Left Party (V),Men,50-64,Secondary,Stockholm,0.001595
2025-W01,Left Party (V),Men,50-64,Secondary,Gothenburg,0.001426
2025-W01,Left Party (V),Men,50-64,Secondary,Malmö,0.001147
2025-W01,Left Party (V),Men,50-64,Tertiary,Stockholm,0.001653
2025-W01,Left Party (V),Men,50-64,Tertiary,Gothenburg,0.001423
2025-W01,Left Party (V),Men,50-64,Tertiary,Malmö,0.001125
2025-W01,Left Party (V),Men,65+,Primary,Stockholm,0.001826
2025-W01,Left Party (V),Men,65+,Primary,Gothenburg,0.001317
2025-W01,Left Party (V),Men,65+,Primary,Malmö,0.001168
2025-W01,Left Party (V),Men,65+,Secondary,Stockholm,0.001592
2025-W01,Left Party (V),Men,65+,Secondary,Gothenburg,0.001371
2025-W01,Left Party (V),Men,65+,Secondary,Malmö,0.001158
2025-W01,Left Party (V),Men,65+,Tertiary,Stockholm,0.001613
2025-W01,Left Party (V),Men,65+,Tertiary,Gothenburg,0.001349
2025-W01,Left Party (V),Men,65+,Tertiary,Malmö,0.001176
2025-W01,Left Party (V),Women,18-29,Primary,Stockholm,0.001997
2025-W01,Left Party (V),Women,18-29,Primary,Gothenburg,0.001805
2025-W01,Left Party (V),Women,18-29,Primary,Malmö,0.001601
2025-W01,Left Party (V),Women,18-29,Secondary,Stockholm,0.002401
2025-W01,Left Party (V),Women,18-29,Secondary,Gothenburg,0.001665
2025-W01,Left Party (V),Women,18-29,Secondary,Malmö,0.001372
2025-W01,Left Party (V),Women,18-29,Tertiary,Stockholm,0.002081
2025-W01,Left Party (V),Women,18-29,Tertiary,Gothenburg,0.001978
2025-W01,Left Party (V),Women,18-29,Tertiary,Malmö,0.001567
2025-W01,Left Party (V),Women,30-49,Primary,Stockholm,0.00235
2025-W01,Left Party (V),Women,30-49,Primary,Gothenburg,0.001773
2025-W01,Left Party (V),Women,30-49,Primary,Malmö,0.001356
2025-W01,Left Party (V),Women,30-49,Secondary,Stockholm,0.00233
2025-W01,Left Party (V),Women,30-49,Secondary,Gothenburg,0.001894
2025-W01,Left Party (V),Women,30-49,Secondary,Malmö,0.001489
2025-W01,Left Party (V),Women,30-49,Tertiary,Stockholm,0.002397
2025-W01,Left Party (V),Women,30-49,Tertiary,Gothenburg,0.001876
2025-W01,Left Party (V),Women,30-49,Tertiary,Malmö,0.001313
2025-W01,Left Party (V),Women,50-64,Primary,Stockholm,0.002323
2025-W01,Left Party (V),Women,50-64,Primary,Gothenburg,0.001747
2025-W01,Left Party (V),Women,50-64,Primary,Malmö,0.001504
2025-W01,Left Party (V),Women,50-64,Secondary,Stockholm,0.002376
2025-W01,Left Party (V),Women,50-64,Secondary,Gothenburg,0.001687
2025-W01,Left Party (V),Women,50-64,Secondary,Malmö,0.001344
2025-W01,Left Party (V),Women,50-64,Tertiary,Stockholm,0.002012
2025-W01,Left Party (V),Women,50-64,Tertiary,Gothenburg,0.001839
2025-W01,Left Party (V),Women,50-64,Tertiary,Malmö,0.00139
2025-W01,Left Party (V),Women,65+,Primary,Stockholm,0.00223
2025-W01,Left Party (V),Women,65+,Primary,Gothenburg,0.001899
2025-W01,Left Party (V),Women,65+,Primary,Malmö,0.00137
2025-W01,Left Party (V),Women,65+,Secondary,Stockholm,0.002243
2025-W01,Left Party (V),Women,65+,Secondary,Gothenburg,0.001734
2025-W01,Left Party (V),Women,65+,Secondary,Malmö,0.001453
2025-W01,Left Party (V),Women,65+,Tertiary,Stockholm,0.002361
2025-W01,Left Party (V),Women,65+,Tertiary,Gothenburg,0.001946
2025-W01,Left Party (V),Women,65+,Tertiary,Malmö,0.001337
2025-W01,Centre Party (C),Men,18-29,Primary,Stockholm,0.001418
2025-W01,Centre Party (C),Men,18-29,Primary,Gothenburg,0.001146
2025-W01,Centre Party (C),Men,18-29,Primary,Malmö,0.000865
2025-W01,Centre Party (C),Men,18-29,Secondary,Stockholm,0.001518
2025-W01,Centre Party (C),Men,18-29,Secondary,Gothenburg,0.001233
2025-W01,Centre Party (C),Men,18-29,Secondary,Malmö,0.000914
2025-W01,Centre Party (C),Men,18-29,Tertiary,Stockholm,0.001509
2025-W01,Centre Party (C),Men,18-29,Tertiary,Gothenburg,0.001212
2025-W01,Centre Party (C),Men,18-29,Tertiary,Malmö,0.000946
2025-W01,Centre Party (C),Men,30-49,Primary,Stockholm,0.001299
2025-W01,Centre Party (C),Men,30-49,Primary,Gothenburg,0.001098
2025-W01,Centre Party (C),Men,30-49,Primary,Malmö,0.001034
2025-W01,Centre Party (C),Men,30-49,Secondary,Stockholm,0.001556
2025-W01,Centre Party (C),Men,30-49,Secondary,Gothenburg,0.001211
2025-W01,Centre Party (C),Men,30-49,Secondary,Malmö,0.001024
2025-W01,Centre Party (C),Men,30-49,Tertiary,Stockholm,0.001464
2025-W01,Centre Party (C),Men,30-49,Tertiary,Gothenburg,0.001116
2025-W01,Centre Party (C),Men,30-49,Tertiary,Malmö,0.000888
2025-W01,Centre Party (C),Men,50-64,Primary,Stockholm,0.001385
2025-W01,Centre Party (C),Men,50-64,Primary,Gothenburg,0.001296
2025-W01,Centre Party (C),Men,50-64,Primary,Malmö,0.001017
2025-W01,Centre Party (C),Men,50-64,Secondary,Stockholm,0.001544
2025-W01,Centre Party (C),Men,50-64,Secondary,Gothenburg,0.001296
2025-W01,Centre Party (C),Men,50-64,Secondary,Malmö,0.000904
2025-W01,Centre Party (C),Men,50-64,Tertiary,Stockholm,0.001368
2025-W01,Centre Party (C),Men,50-64,Tertiary,Gothenburg,0.001105
2025-W01,Centre Party (C),Men,50-64,Tertiary,Malmö,0.001014
2025-W01,Centre Party (C),Men,65+,Primary,Stockholm,0.001551
2025-W01,Centre Party (C),Men,65+,Primary,Gothenburg,0.001178
2025-W01,Centre Party (C),Men,65+,Primary,Malmö,0.000983
2025-W01,Centre Party (C),Men,65+,Secondary,Stockholm,0.001341
2025-W01,Centre Party (C),Men,65+,Secondary,Gothenburg,0.001303
2025-W01,Centre Party (C),Men,65+,Secondary,Malmö,0.00103
2025-W01,Centre Party (C),Men,65+,Tertiary,Stockholm,0.001577
2025-W01,Centre Party (C),Men,65+,Tertiary,Gothenburg,0.001275
2025-W01,Centre Party (C),Men,65+,Tertiary,Malmö,0.001033
2025-W01,Centre Party (C),Women,18-29,Primary,Stockholm,0.001303
2025-W01,Centre Party (C),Women,18-29,Primary,Gothenburg,0.001257
2025-W01,Centre Party (C),Women,18-29,Primary,Malmö,0.000928
2025-W01,Centre Party (C),Women,18-29,Secondary,Stockholm,0.001564
2025-W01,Centre Party (C),Women,18-29,Secondary,Gothenburg,0.001273
2025-W01,Centre Party (C),Women,18-29,Secondary,Malmö,0.00103
2025-W01,Centre Party (C),Women,18-29,Tertiary,Stockholm,0.001529
2025-W01,Centre Party (C),Women,18-29,Tertiary,Gothenburg,0.001144
2025-W01,Centre Party (C),Women,18-29,Tertiary,Malmö,0.001015
2025-W01,Centre Party (C),Women,30-49,Primary,Stockholm,0.001327
2025-W01,Centre Party (C),Women,30-49,Primary,Gothenburg,0.001289
2025-W01,Centre Party (C),Women,30-49,Primary,Malmö,0.001029
2025-W01,Centre Party (C),Women,30-49,Secondary,Stockholm,0.00136
2025-W01,Centre Party (C),Women,30-49,Secondary,Gothenburg,0.001276
2025-W01,Centre Party (C),Women,30-49,Secondary,Malmö,0.000952
2025-W01,Centre Party (C),Women,30-49,Tertiary,Stockholm,0.001384
2025-W01,Centre Party (C),Women,30-49,Tertiary,Gothenburg,0.001271
2025-W01,Centre Party (C),Women,30-49,Tertiary,Malmö,0.000908
2025-W01,Centre Party (C),Women,50-64,Primary,Stockholm,0.001303
2025-W01,Centre Party (C),Women,50-64,Primary,Gothenburg,0.001126
2025-W01,Centre Party (C),Women,50-64,Primary,Malmö,0.000927
2025-W01,Centre Party (C),Women,50-64,Secondary,Stockholm,0.001545
2025-W01,Centre Party (C),Women,50-64,Secondary,Gothenburg,0.001312
2025-W01,Centre Party (C),Women,50-64,Secondary,Malmö,0.000918
2025-W01,Centre Party (C),Women,50-64,Tertiary,Stockholm,0.001481
2025-W01,Centre Party (C),Women,50-64,Tertiary,Gothenburg,0.001176
2025-W01,Centre Party (C),Women,50-64,Tertiary,Malmö,0.001052
2025-W01,Centre Party (C),Women,65+,Primary,Stockholm,0.00145
2025-W01,Centre Party (C),Women,65+,Primary,Gothenburg,0.001305
2025-W01,Centre Party (C),Women,65+,Primary,Malmö,0.000886
2025-W01,Centre Party (C),Women,65+,Secondary,Stockholm,0.001575
2025-W01,Centre Party (C),Women,65+,Secondary,Gothenburg,0.001123
2025-W01,Centre Party (C),Women,65+,Secondary,Malmö,0.001049
2025-W01,Centre Party (C),Women,65+,Tertiary,Stockholm,0.001372
2025-W01,Centre Party (C),Women,65+,Tertiary,Gothenburg,0.001106
2025-W01,Centre Party (C),Women,65+,Tertiary,Malmö,0.000947
2025-W02,Social Democrats (S),Men,18-29,Primary,Stockholm,0.004943
2025-W02,Social Democrats (S),Men,18-29,Primary,Gothenburg,0.003792
2025-W02,Social Democrats (S),Men,18-29,Primary,Malmö,0.003218
2025-W02,Social Democrats (S),Men,18-29,Secondary,Stockholm,0.003644
2025-W02,Social Democrats (S),Men,18-29,Secondary,Gothenburg,0.00296
2025-W02,Social Democrats (S),Men,18-29,Secondary,Malmö,0.002461
2025-W02,Social Democrats (S),Men,18-29,Tertiary,Stockholm,0.003458
2025-W02,Social Democrats (S),Men,18-29,Tertiary,Gothenburg,0.003157
2025-W02,Social Democrats (S),Men,18-29,Tertiary,Malmö,0.002182
