State,District,Incumbent,Incumbent_Party,Status,PVI_2025,Democratic_Candidates,Republican_Candidates,Independent_ThirdParty,Democratic_Count,Republican_Count,Independent_Count,Primaries_Over,District_full
California,CA-4,Mike Thompson,Democratic,Incumbent advanced to general Democratic hold.,D+8,"['Eric Jones', 'Mike Thompson']",[],[],2,0,0,False,California 4
California,CA-5,Tom McClintock,Republican,Incumbent advanced to general,R+10,['Michael Masuda'],['Tom McClintock'],[],1,1,0,True,California 5
California,CA-6,Kevin Kiley Redistricted from the 3rd district,Independent,Incumbent advanced to general,D+5,['Richard Pan'],[],"[{'name': 'Kevin Kiley', 'party': 'Independent'}]",1,0,1,False,California 6
California,CA-7,Doris Matsui,Democratic,Incumbent advanced to general Democratic hold.,D+7,"['Doris Matsui', 'Mai Vang']",[],[],2,0,0,False,California 7
California,CA-8,John Garamendi,Democratic,Incumbent advanced to general,D+19,['John Garamendi'],['Rudy Recile'],[],1,1,0,True,California 8
California,CA-9,Josh Harder,Democratic,Incumbent advanced to general,D+8,['Josh Harder'],['John McBride'],[],1,1,0,True,California 9
California,CA-10,Mark DeSaulnier,Democratic,Incumbent advanced to general,D+18,['Mark DeSaulnier'],['Jeff Frese'],[],1,1,0,True,California 10
California,CA-11,Nancy Pelosi,Democratic,Incumbent retiring[2] Democratic hold.,D+36,"['Connie Chan', 'Scott Wiener']",[],[],2,0,0,False,California 11
California,CA-12,Lateefah Simon,Democratic,Incumbent advanced to general Democratic hold.,D+39,"['Jamie Joyce', 'Lateefah Simon']",[],[],2,0,0,False,California 12
California,CA-13,Adam Gray,Democratic,Incumbent advanced to general,D+2,['Adam Gray'],['Kevin Lincoln'],[],1,1,0,True,California 13
California,CA-14,TBD[m],TBD[m],Incumbent to be determined in 2026 Democratic hold.,D+19,"['Melissa Hernandez', 'Aisha Wahab']",[],[],2,0,0,False,California 14
California,CA-15,Kevin Mullin,Democratic,Incumbent advanced to general,D+26,['Kevin Mullin'],['Charles Hoelter'],[],1,1,0,True,California 15
California,CA-16,Sam Liccardo,Democratic,Incumbent advanced to general,D+25,['Sam Liccardo'],[''],[],1,1,0,True,California 16
California,CA-17,Ro Khanna,Democratic,Incumbent advanced to general,D+21,['Ro Khanna'],['Ritesh Tandon'],[],1,1,0,True,California 17
California,CA-18,Zoe Lofgren,Democratic,Incumbent advanced to general,D+16,['Zoe Lofgren'],['Shane Lewis'],[],1,1,0,True,California 18
California,CA-19,Jimmy Panetta,Democratic,Incumbent advanced to general,D+18,['Jimmy Panetta'],['Peter Coe Verbica'],[],1,1,0,True,California 19
California,CA-20,Vince Fong,Republican,Incumbent advanced to general,R+16,['Sandra Van Scotter'],['Vince Fong'],[],1,1,0,True,California 20
California,CA-21,Jim Costa,Democratic,Incumbent advanced to general,D+5,['Jim Costa'],['Kyle Kirkland'],[],1,1,0,True,California 21
California,CA-22,David Valadao,Republican,Incumbent advanced to general,D+1,['Randy Villegas'],['David Valadao'],[],1,1,0,True,California 22
California,CA-23,Jay Obernolte,Republican,Incumbent advanced to general,R+9,['Tessa Lynn Hodge'],['Jay Obernolte'],[],1,1,0,True,California 23
California,CA-24,Salud Carbajal,Democratic,Incumbent advanced to general,D+13,['Salud Carbajal'],['Bob Smith'],[],1,1,0,True,California 24
California,CA-25,Raul Ruiz,Democratic,Incumbent advanced to general,D+4,['Raul Ruiz'],['Joe Males'],[],1,1,0,True,California 25
California,CA-26,Julia Brownley,Democratic,Incumbent retiring[3],D+9,['Jacqui Irwin'],['Sam Gallucci'],[],1,1,0,True,California 26
California,CA-27,George T. Whitesides,Democratic,Incumbent advanced to general,D+6,['George Whitesides'],['Jason Gibbs'],[],1,1,0,True,California 27
California,CA-28,Judy Chu,Democratic,Incumbent advanced to general,D+14,['Judy Chu'],['April Verlato'],[],1,1,0,True,California 28
California,CA-29,Luz Rivas,Democratic,Incumbent advanced to general Democratic hold.,D+19,"['as', 'Luz Rivas']",[],[],2,0,0,False,California 29
California,CA-30,Laura Friedman,Democratic,Incumbent advanced to general,D+21,['Laura Friedman'],['Scott Meyers'],[],1,1,0,True,California 30
California,CA-31,Gil Cisneros,Democratic,Incumbent advanced to general,D+8,['Gil Cisneros'],['Eric Ching'],[],1,1,0,True,California 31
California,CA-32,Brad Sherman,Democratic,Incumbent advanced to general,D+14,['Brad Sherman'],['Larry Thompson'],[],1,1,0,True,California 32
California,CA-33,Pete Aguilar,Democratic,Incumbent advanced to general,D+7,['Pete Aguilar'],['Stephanie Vargas'],[],1,1,0,True,California 33
California,CA-34,Jimmy Gomez,Democratic,Incumbent advanced to general Democratic hold.,D+28,"['Jimmy Gomez', 'Angela Gonzales-Torres']",[],[],2,0,0,False,California 34
California,CA-35,Norma Torres,Democratic,Incumbent advanced to general,D+6,['Norma Torres'],['Mike Cargile'],[],1,1,0,True,California 35
California,CA-36,Ted Lieu,Democratic,Incumbent advanced to general,D+21,['Ted Lieu'],['Houston Brignano'],[],1,1,0,True,California 36
California,CA-37,Sydney Kamlager-Dove,Democratic,Incumbent advanced to general Democratic hold.,D+33,"['Sydney Kamlager-Dove', 'Samantha Mota']",[],[],2,0,0,False,California 37
California,CA-38,None (new seat),None (new seat),New representative to be elected,D+8,['Hilda Solis'],['Pedro Casas'],[],1,1,0,True,California 38
California,CA-39,Mark Takano,Democratic,Incumbent advanced to general,D+7,['Mark Takano'],['Steve Manos'],[],1,1,0,True,California 39
California,CA-40,Young Kim,Republican,Incumbent advanced to general Republican hold.,R+6,[],"['Ken Calvert', 'Young Kim']",[],0,2,0,False,California 40
California,CA-40,Ken Calvert Redistricted from the 41st district,Republican,Incumbent advanced to general Republican hold.,R+6,[],"['Ken Calvert', 'Young Kim']",[],0,2,0,False,California 40
California,CA-41,Linda Sánchez Redistricted from the 38th district,Democratic,Incumbent advanced to general,D+9,['nchez'],['Mitch Clemmons'],[],1,1,0,True,California 41
California,CA-42,Robert Garcia,Democratic,Incumbent advanced to general,D+8,['Robert Garcia'],['Brian Burley'],[],1,1,0,True,California 42
California,CA-43,Maxine Waters,Democratic,Incumbent advanced to general,D+27,['Maxine Waters'],['Cristian Morales'],[],1,1,0,True,California 43
California,CA-44,Nanette Barragán,Democratic,Incumbent advanced to general,D+20,['n'],['Genevieve Angel'],[],1,1,0,True,California 44
California,CA-45,Derek Tran,Democratic,Incumbent advanced to general,D+3,['Derek Tran'],['Chuong Vo'],[],1,1,0,True,California 45
California,CA-46,Lou Correa,Democratic,Incumbent advanced to general,D+10,['Lou Correa'],['David Pan'],[],1,1,0,True,California 46
California,CA-47,Dave Min,Democratic,Incumbent advanced to general,D+6,['Dave Min'],['Jenny Le Roux'],[],1,1,0,True,California 47
California,CA-48,Darrell Issa,Republican,Incumbent retiring[29],D+2,['Marni von Wilpert'],['Jim Desmond'],[],1,1,0,True,California 48
California,CA-49,Mike Levin,Democratic,Incumbent advanced to general,D+7,['Mike Levin'],['Armen Kurdian'],[],1,1,0,True,California 49
California,CA-50,Scott Peters,Democratic,Incumbent advanced to general,D+10,['Scott Peters'],['Steve Cohen'],[],1,1,0,True,California 50
California,CA-51,Sara Jacobs,Democratic,Incumbent advanced to general,D+10,['Sara Jacobs'],['Ricardo Cabrera'],[],1,1,0,True,California 51
California,CA-52,Juan Vargas,Democratic,Incumbent advanced to general,D+11,['Juan Vargas'],['Jeff Belle'],[],1,1,0,True,California 52
Colorado,CO-1,Diana DeGette,Democratic,Incumbent lost renomination,D+29,['Melat Kiros'],['Christy Peterson'],[],1,1,0,True,Colorado 1
Colorado,CO-2,Joe Neguse,Democratic,Incumbent renominated,D+20,['Joe Neguse'],['Kelley Dennison'],[],1,1,0,True,Colorado 2
Colorado,CO-3,Jeff Hurd,Republican,Incumbent renominated,R+5,['Dwayne Romero'],['Jeff Hurd'],[],1,1,0,True,Colorado 3
Colorado,CO-4,Lauren Boebert,Republican,Incumbent renominated,R+9,['Eileen Laubacher'],['Lauren Boebert'],"[{'name': 'Tim Veldhuizen', 'party': 'Independent'}]",1,1,1,True,Colorado 4
Colorado,CO-5,Jeff Crank,Republican,Incumbent renominated,R+5,['Jessica Killin'],['Jeff Crank'],[],1,1,0,True,Colorado 5
Colorado,CO-6,Jason Crow,Democratic,Incumbent renominated,D+11,['Jason Crow'],['Jason Clark'],[],1,1,0,True,Colorado 6
Colorado,CO-7,Brittany Pettersen,Democratic,Incumbent renominated,D+8,['Brittany Pettersen'],['Tim Bennett'],[],1,1,0,True,Colorado 7
Colorado,CO-8,Gabe Evans,Republican,Incumbent renominated,EVEN,['Manny Rutinel'],['Gabe Evans'],[],1,1,0,True,Colorado 8
Connecticut,CT-1,John B. Larson,Democratic,Incumbent running,D+12,"['Luke Bronin', 'Ruth Fortune', 'Jillian Gilchrest', 'John B. Larson']",['Amy Chai'],[],4,1,0,False,Connecticut 1
Connecticut,CT-2,Joe Courtney,Democratic,Incumbent running,D+4,['Joe Courtney'],['George Austin'],[],1,1,0,True,Connecticut 2
Connecticut,CT-3,Rosa DeLauro,Democratic,Incumbent running,D+8,['Rosa DeLauro'],"['Raphael Irizarry', 'Chris Lancia']",[],1,2,0,False,Connecticut 3
Connecticut,CT-4,Jim Himes,Democratic,Incumbent running,D+13,['Jim Himes'],"['Michael Goldstein', 'Dan Miressi']",[],1,2,0,False,Connecticut 4
Connecticut,CT-5,Jahana Hayes,Democratic,Incumbent running,D+3,['Jahana Hayes'],"['Jonathan De Barros', 'Chris Shea']",[],1,2,0,False,Connecticut 5
Delaware,DE-1,Sarah McBride,Democratic,Incumbent running,D+8,['Sarah McBride'],['Earl Cooper'],[],1,1,0,True,Delaware at-large
Florida,FL-1,Jimmy Patronis,Republican,Incumbent running,R+18,[],"['Douglas Chico', 'John Frankman']","[{'name': 'Tyler Davis', 'party': 'Independent'}, {'name': 'Jimmy Patronis', 'party': 'Republican ▌Gay Valimont (Democratic'}]",0,2,2,False,Florida 1
Florida,FL-2,Neal Dunn,Republican,Incumbent retiring[30],R+8,"['Yen Bailey', 'Brice Barnes', 'Amanda Green', 'Nic Zateslo']","['Keith Gross', 'Lee Jones', 'Nick Lewis', 'Luke Murphy', 'Jim Norton', 'Evan Power', 'Austin Rogers', 'Audie Rowell']",[],4,8,0,False,Florida 2
Florida,FL-3,Kat Cammack,Republican,Incumbent running,R+10,"['Troy Albers', 'Seth Harp', 'George Hubac', 'Tom Wells']",['Kat Cammack'],"[{'name': 'Mike Klein', 'party': 'Independent'}]",4,1,1,False,Florida 3
Florida,FL-4,Aaron Bean,Republican,Incumbent running,R+5,"['LaShonda Holloway', 'Michael Kirwan', 'Brittany Robinson']",['Aaron Bean'],"[{'name': 'Todd Schaefer', 'party': 'Independent'}, {'name': 'Mike Sell', 'party': 'Florida Forward'}]",3,1,2,False,Florida 4
Florida,FL-5,John Rutherford,Republican,Incumbent running,R+10,"['Rachel Grage', 'Alex Hazen', 'Mark Heggestad']","['Mark Kaye', 'John Rutherford']",[],3,2,0,False,Florida 5
Florida,FL-6,Randy Fine,Republican,Incumbent running,R+14,"['Robert Cooper II', 'Steve Morgan', 'Ronnie Murchinson-Rivera', 'Eric Yonce']","['Manuel Asensio', 'Aaron Baker', 'Dan Bilzerian', 'Randy Fine', 'Charles Gambaro Jr.']","[{'name': 'Michael Gist', 'party': 'Independent'}, {'name': 'Andrew Parrott', 'party': 'Libertarian'}]",4,5,2,False,Florida 6
Florida,FL-7,Cory Mills,Republican,Incumbent running,R+5,"['Bale Dalton', 'Alan Grayson', 'Marialana Kinter']","['Ryan Elijah', 'Michael Johnson', 'Cory Mills', 'Sarah Ulrich']","[{'name': 'Christopher Dennison', 'party': 'Libertarian'}]",3,4,1,False,Florida 7
Florida,FL-8,Mike Haridopolos,Republican,Incumbent running,R+8,['Jennifer Jenkins'],['Mike Haridopolos'],[],1,1,0,True,Florida 8
Florida,FL-9,Darren Soto,Democratic,Incumbent running,R+8,['Darren Soto'],"['Ben Butler', 'Marcus Carter', 'Thomas Chalifoux', 'Dan Green', 'Jorge Martinez', 'Steve Rance', 'Justin Story']",[],1,7,0,False,Florida 9
Florida,FL-10,Maxwell Frost,Democratic,Incumbent re-elected,D+13,['Maxwell Frost'],[],[],1,0,0,False,Florida 10
Florida,FL-11,Daniel Webster,Republican,Incumbent retiring[31],R+7,"['James Pericola', 'Royal Webster', 'Dan Williams']","['Carey Baker', 'Ivette Palomo', 'Nizam Razack', 'Joe Strada', 'Tim Wilkins']","[{'name': 'Ralph Groves', 'party': 'Libertarian'}]",3,5,1,False,Florida 11
Florida,FL-12,Gus Bilirakis,Republican,Incumbent running,R+7,"['Darren McAuley', 'Kimberly Overman']",['Gus Bilirakis'],"[{'name': 'Branden Scrivener', 'party': 'Independent'}]",2,1,1,False,Florida 12
Florida,FL-13,Anna Paulina Luna,Republican,Incumbent running,R+6,"['Leela Gray', 'John Liccione', 'Brandt Robinson']",['Anna Paulina Luna'],"[{'name': ""Tony D'Arrigo"", 'party': 'Independent'}]",3,1,1,False,Florida 13
Florida,FL-14,Kathy Castor,Democratic,Incumbent running,R+4,['Kathy Castor'],"['Mike Beltran', 'John Peters', 'Rocky Rochford', 'Gavriel Soriano', 'Kevin Steele', 'Ergin Tek', 'Bea Valenti']","[{'name': 'Brian Lambert', 'party': 'Libertarian'}]",1,7,1,False,Florida 14
Florida,FL-15,Laurel Lee,Republican,Incumbent running,R+9,"['Chris Irizarry', 'Robert People']",['Laurel Lee'],[],2,1,0,False,Florida 15
Florida,FL-16,Vern Buchanan,Republican,Incumbent retiring[32],R+6,"['Jon Harris', 'Kelly Kirschner', 'Tamika Lyles', 'Glenn Pearson', 'Jan Schneider']","['Sydney Gruters', 'Ed Pope', 'Eddie Speir']","[{'name': 'Mark Davis', 'party': 'Independent'}]",5,3,1,False,Florida 16
Florida,FL-17,Greg Steube,Republican,Incumbent running,R+10,"['Matthew Montavon', 'Allen Spence']",['Greg Steube'],"[{'name': 'Michael Quirk', 'party': 'Independent'}]",2,1,1,False,Florida 17
Florida,FL-18,Scott Franklin,Republican,Incumbent running,R+8,['Curtis Gibson'],['Scott Franklin'],"[{'name': 'Deva Simmons', 'party': 'Independent'}]",1,1,1,True,Florida 18
Florida,FL-19,Byron Donalds,Republican,Incumbent retiring to run for governor[33],R+14,"['Victor Arias', 'Robert Neeld', 'Howard Sapp']","['Greg Bukowski', 'Madison Cawthorn', 'Chris Collins', 'Ola Hawatmeh', 'Catalina Lauf', 'Jim Oberweis', 'Mike Pedersen', 'Linda Sawyer', 'Jim Schwartzel', 'John Strand']","[{'name': 'Seth Haskin', 'party': 'Independent'}]",3,10,1,False,Florida 19
Florida,FL-20,Vac­ant[n],Vac­ant[n],Incumbent to be determined in 2026,D+20,"['Luther Campbell', 'Elijah Manley', 'Debbie Wasserman Schultz']","['Brent Anderson', 'Lateresa Jones', 'Rod Joseph', 'Carla Spalding']","[{'name': 'Sheila Cherfilus-McCormick', 'party': 'Democratic ▌Dale Holness (Democratic'}, {'name': 'Kedner Maxime', 'party': 'Independent'}]",3,4,2,False,Florida 20
Florida,FL-20,Debbie Wasserman Schultz Redistricted from the 25th district,Democratic,Incumbent running,D+20,"['Luther Campbell', 'Elijah Manley', 'Debbie Wasserman Schultz']","['Brent Anderson', 'Lateresa Jones', 'Rod Joseph', 'Carla Spalding']","[{'name': 'Sheila Cherfilus-McCormick', 'party': 'Democratic ▌Dale Holness (Democratic'}, {'name': 'Kedner Maxime', 'party': 'Independent'}]",3,4,2,False,Florida 20
Florida,FL-21,Brian Mast,Republican,Incumbent running,R+7,"['James Martin', 'Bernard Taylor']",['Brian Mast'],"[{'name': 'Alexander Cooke', 'party': 'Independent'}]",2,1,1,False,Florida 21
Florida,FL-22,None (new seat),None (new seat),New representative to be elected,R+4,"['Pia Dandiya', 'Kaysia Earley']","['Casey Askar', 'David Burck', 'Michael Carbonara', 'Richard Evans', 'Terri Hasdorff', 'Belinda Keiser', 'Michael Thompson']",[],2,7,0,False,Florida 22
Florida,FL-23,Lois Frankel Redistricted from the 22nd district,Democratic,Incumbent running,D+9,"['Victoria Doyle', 'Lois Frankel', 'Mark Piper']","['Deborah Adeimy', 'Paola Branda']",[],3,2,0,False,Florida 23
Florida,FL-24,Frederica Wilson,Democratic,Incumbent retiring[5],D+22,"['Marshall Davis Sr.', 'Oliver Gilbert', 'Shevrin Jones', 'Kendrick Meek', 'Rudy Moise', 'Jean Monestime', 'Roderick Vereen']",['Te Mayonna Brown'],"[{'name': 'Andy Daro', 'party': 'Independent'}]",7,1,1,False,Florida 24
Florida,FL-25,Jared Moskowitz Redistricted from the 23rd district,Democratic,Incumbent running,R+3,"['Oliver Larkin', 'Jared Moskowitz']","['Dan Franzese', 'Raven Harrison', 'Joe Kaufman', 'George Moraitis', 'Scott Singer']","[{'name': 'Peter Jassenoff', 'party': 'Libertarian'}]",2,5,1,False,Florida 25
Florida,FL-26,Mario Díaz-Balart,Republican,Incumbent running,R+7,['Nicole Locklin'],['az-Balart'],"[{'name': 'Deborah Ann Meidinger Hosey', 'party': 'Independent'}]",1,1,1,True,Florida 26
Florida,FL-27,María Elvira Salazar,Republican,Incumbent running,R+6,"['Robin Peguero', 'Eliott Rodriguez']","['Michael Arias', 'a Elvira Salazar']",[],2,2,0,False,Florida 27
Florida,FL-28,Carlos A. Giménez,Republican,Incumbent running,R+10,['Phil Ehr'],['Carlos Gimenez'],"[{'name': 'Eddy Rojas', 'party': 'Independent'}]",1,1,1,True,Florida 28
Georgia,GA-1,Buddy Carter,Republican,Incumbent retiring to run for U.S. Senate[34],R+8,['Amanda Hollowell'],['Jim Kingston'],[],1,1,0,True,Georgia 1
Georgia,GA-2,Sanford Bishop,Democratic,Incumbent renominated,D+4,['Sanford Bishop'],['Matt Day'],[],1,1,0,True,Georgia 2
Georgia,GA-3,Brian Jack,Republican,Incumbent renominated,R+15,['Maura Keller'],['Brian Jack'],[],1,1,0,True,Georgia 3
Georgia,GA-4,Hank Johnson,Democratic,Incumbent renominated,D+27,['Hank Johnson'],['James Duffie'],[],1,1,0,True,Georgia 4
Georgia,GA-5,Nikema Williams,Democratic,Incumbent renominated,D+36,['Nikema Williams'],['John Oscar Salvesen'],[],1,1,0,True,Georgia 5
Georgia,GA-6,Lucy McBath,Democratic,Incumbent renominated,D+25,['Lucy McBath'],['Kevin Martin'],[],1,1,0,True,Georgia 6
Georgia,GA-7,Rich McCormick,Republican,Incumbent renominated,R+11,['Tony Kozycki'],['Rich McCormick'],[],1,1,0,True,Georgia 7
Georgia,GA-8,Austin Scott,Republican,Incumbent renominated,R+15,['Kelly Esti'],['Austin Scott'],[],1,1,0,True,Georgia 8
Georgia,GA-9,Andrew Clyde,Republican,Incumbent renominated,R+17,['Caitlyn Gegen'],['Andrew Clyde'],[],1,1,0,True,Georgia 9
Georgia,GA-10,Mike Collins,Republican,Incumbent retiring to run for U.S. Senate[35],R+11,['Pam Delancy'],['Houston Gaines'],[],1,1,0,True,Georgia 10
Georgia,GA-11,Barry Loudermilk,Republican,Incumbent retiring[36],R+12,['Chris Harden'],['John Cowan'],[],1,1,0,True,Georgia 11
Georgia,GA-12,Rick Allen,Republican,Incumbent renominated,R+7,['Ceretta Smith'],['Rick Allen'],[],1,1,0,True,Georgia 12
Georgia,GA-13,TBD[o],TBD[o],Incumbent to be determined in 2026,D+21,['Jasmine Clark'],['Jonathan Chavez'],[],1,1,0,True,Georgia 13
Georgia,GA-14,Clay Fuller,Republican,Incumbent renominated,R+19,['Shawn Harris'],['Clay Fuller'],"[{'name': 'Andrew Underwood', 'party': 'Libertarian'}]",1,1,1,True,Georgia 14
Hawaii,HI-1,Ed Case,Democratic,Incumbent running,D+13,"['Jennifer Booker', 'Ed Case', 'Ben Fatula', 'Jarrett Keohokalole', 'Nick Kiswanto']",['Adriel Lam'],"[{'name': 'Nathan Berning', 'party': 'Independent'}, {'name': 'Jordan Conley', 'party': 'Green'}]",5,1,2,False,Hawaii 1
Hawaii,HI-2,Jill Tokuda,Democratic,Incumbent running,D+12,"['Kirill Basin', 'Greg Guithues', 'Steven King', 'Jill Tokuda']",['Brenton Awa'],"[{'name': 'Edward Codelia', 'party': 'Independent'}, {'name': 'Randall Terry', 'party': 'Independent'}]",4,1,2,False,Hawaii 2
Idaho,ID-1,Russ Fulcher,Republican,Incumbent renominated,R+22,['Kaylee Peterson'],['Russ Fulcher'],"[{'name': 'Brendan Gomez', 'party': 'Constitution'}, {'name': 'Sarah Zabel', 'party': 'Independent'}]",1,1,2,True,Idaho 1
Idaho,ID-2,Mike Simpson,Republican,Incumbent renominated,R+13,['Ellie Gilbreath'],['Mike Simpson'],"[{'name': 'Emre Houser', 'party': 'Independent'}, {'name': 'Tripp Hutchinson', 'party': 'Independent'}, {'name': 'Will Johanson', 'party': 'Libertarian'}, {'name': 'Carta Sierra', 'party': 'Constitution'}]",1,1,4,True,Idaho 2
Illinois,IL-1,Jonathan Jackson,Democratic,Incumbent renominated,D+18,['Jonathan Jackson'],['Christian Maxwell'],[],1,1,0,True,Illinois 1
Illinois,IL-2,Robin Kelly,Democratic,Incumbent retiring to run for U.S. Senate[6],D+18,['Donna Miller'],['Michael Noack'],"[{'name': 'Ashley Banks', 'party': 'Independent'}]",1,1,1,True,Illinois 2
Illinois,IL-3,Delia Ramirez,Democratic,Incumbent renominated,D+17,['Delia Ramirez'],['Angel Oakley'],[],1,1,0,True,Illinois 3
Illinois,IL-4,Chuy García,Democratic,Incumbent retiring[7],D+17,['Patty Garcia'],['Lupe Castillo'],"[{'name': 'Chris Getty', 'party': 'Independent'}, {'name': 'Ed Hershey', 'party': 'Working Class'}, {'name': 'as', 'party': 'Independent'}, {'name': 'Byron Sigcho-Lopez', 'party': 'Independent'}]",1,1,4,True,Illinois 4
Illinois,IL-5,Mike Quigley,Democratic,Incumbent renominated,D+19,['Mike Quigley'],['Tommy Hanson'],[],1,1,0,True,Illinois 5
Illinois,IL-6,Sean Casten,Democratic,Incumbent renominated,D+3,['Sean Casten'],['Niki Conforti'],[],1,1,0,True,Illinois 6
Illinois,IL-7,Danny Davis,Democratic,Incumbent retiring[8],D+34,['La Shawn Ford'],['Chad Koppie'],[],1,1,0,True,Illinois 7
Illinois,IL-8,Raja Krishnamoorthi,Democratic,Incumbent retiring to run for U.S. Senate[9],D+5,['Melissa Bean'],['Jennifer Davis'],[],1,1,0,True,Illinois 8
Illinois,IL-9,Jan Schakowsky,Democratic,Incumbent retiring[10],D+19,['Daniel Biss'],['John Elleson'],[],1,1,0,True,Illinois 9
